Cat,Light,GBR,H2O,Average,Real
56.75576309,55.20917716,55.04723057,54.69299299,55.42629095,56.82
48.12987595,45.72178334,50.26134009,48.21856903,48.0828921,44.17
58.71447931,53.46383854,57.49033555,56.99534287,56.66599907,59.96
58.06516903,53.44884742,55.56702109,58.18138046,56.3156045,35.08
49.52162838,50.71711046,49.83746246,47.93450277,49.50267602,55.14
57.52498596,55.10284671,57.44954728,57.91281317,56.99754828,59.96
55.47910859,52.80548567,51.65350281,48.60947028,52.13689183,57.01
52.82186819,53.17224818,52.99368226,53.36460746,53.08810152,51.32
57.29768459,59.9403069,57.46004329,58.79423259,58.37306684,59.96
48.217586,49.89697284,51.53848369,48.94929276,49.65058382,49.98
58.25035486,59.55776504,57.45546031,58.18801807,58.36289957,59.96
53.48275103,51.51541517,48.58162627,52.93576156,51.62888851,52.23
51.67604413,46.87475599,52.70584056,48.60246231,49.96477575,39.96
51.34761097,51.60548505,47.93226453,50.2881361,50.29337417,52.23
51.80846061,53.3777361,51.14541982,53.97202081,52.57590934,46.04
49.50161865,52.96879846,50.00656666,48.80520155,50.32054633,54.55
50.8819407,53.89586627,51.65799139,51.81220921,52.06200189,60.92
52.78506429,53.33336359,48.57967532,52.65942798,51.8393828,52.23
50.24162364,51.28328621,51.5475518,52.11682377,51.29732136,49.98
50.15803347,50.40345225,52.36490002,52.62962277,51.38900213,47.43
46.30815213,47.57901133,47.24976387,46.33670717,46.86840862,47.06
53.59757799,53.28291848,49.73453016,54.29874627,52.72844323,52.23
59.50827894,57.68198499,57.43974059,57.27279188,57.9756991,59.96
60.61105235,59.37256006,57.43974059,57.05818575,58.62038469,59.96
55.14389407,53.69080882,55.72459105,52.86339386,54.35567195,57.8
55.95839373,58.05949476,55.90251273,54.31938275,56.05994599,61.59
58.32774408,59.62519808,57.43974059,58.21935084,58.4030084,59.96
56.46616849,59.76466663,57.43974059,58.08510641,57.93892053,59.96
55.33897205,54.69462965,55.05808719,55.11750826,55.05229929,60.92
50.29925616,50.1980245,50.4798536,51.23647808,50.55340308,45.94
52.93084027,53.38802777,54.61268402,53.71702488,53.66214424,46.04
